Sample_ID,Source,Collection,Binder_ID,Manufacturer,Origin,Type,Subtype,Apparent_Colour,Details
MTF_LYO_056,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,56,Lenzing Lyocell by Lenzing®,Man-made,Regenerated cellulose,Lyocell,N/A,Round X-S.; slightly irregular diameter.
MTF_MAC_057,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,57,Bayer Verel® C,Man-made,Modacrylic,PAN/VDC,N/A,"PAN + VDC (37%) (DMF solvent). No ester, aliphatic sulphonate dye site. Obsolete."
MTF_MAC_058,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,58,Eastman Fibers Verel® Type CA,Man-made,Modacrylic,Unspecified PAN (Modacrylic) Copolymer,N/A,White. Peanut X-S. Bright. 16dpf. Use: Floor coverings.
MTF_MAC_059,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,59,Hoechst Dolan® 88,Man-made,Modacrylic,PAN/VC,N/A,PAN + VC(15%) + MA(3%) + aliphatic sulphonate dye site. Obsolete.
MTF_MOD_060,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,60,Lenzing Lenzing® Modal,Man-made,Regenerated cellulose,Modal,Black,Bright. Black spun dyed. Modal. 3.3dtex x 80mm.
MTF_MAC_061,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,61,Monsanto Elura®,Man-made,Modacrylic,PAN/VBr,Brown,Brown. PAN + VBr + aromatic sulphonate dye site. Wig fiber. Obsolete.
MTF_MAC_062,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,62,Snia Velicren® FR,Man-made,Modacrylic,PAN/VDC,N/A,Ribbon X-S. PAN + VDC + aromatic sulphonate dye site (DMF solvent). 16.7dtex.
MTF_MAC_063,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,63,Solutia SEF Modacrylic,Man-made,Modacrylic,Unspecified PAN (Modacrylic) Copolymer,Dyed,Dyed SEF color: Toasty Beige.
MTF_MAC_064,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,64,Toray Unfla®,Man-made,Modacrylic,PAN/VDC,N/A,PAN + VDC + high ester + aliphatic sulphonate dye site. No DMF residue. Wig fiber. Obsolete.
MTF_MAC_065,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,65,Toray Unfla®,Man-made,Modacrylic,Unspecified PAN (Modacrylic) Copolymer,N/A,Undyed. Raw stock. Obsolete.
