Created as New Dataset,11.3 Red Wool Coopworth sheep 
cm-1,%T
2647.00,98.80
2646.00,98.80
2645.00,98.80
2644.00,98.80
2643.00,98.80
2642.00,98.80
2641.00,98.81
2640.00,98.82
2639.00,98.81
2638.00,98.80
2637.00,98.79
2636.00,98.78
2635.00,98.78
2634.00,98.78
2633.00,98.77
2632.00,98.78
2631.00,98.78
2630.00,98.79
2629.00,98.79
2628.00,98.78
2627.00,98.77
2626.00,98.76
2625.00,98.77
2624.00,98.77
2623.00,98.77
2622.00,98.77
2621.00,98.77
2620.00,98.77
2619.00,98.77
2618.00,98.77
2617.00,98.76
2616.00,98.75
2615.00,98.74
2614.00,98.73
2613.00,98.73
2612.00,98.72
2611.00,98.71
2610.00,98.70
2609.00,98.70
2608.00,98.70
2607.00,98.71
2606.00,98.72
2605.00,98.71
2604.00,98.71
2603.00,98.72
2602.00,98.73
2601.00,98.74
2600.00,98.75
2599.00,98.74
2598.00,98.73
2597.00,98.73
2596.00,98.74
2595.00,98.75
2594.00,98.76
2593.00,98.75
2592.00,98.74
2591.00,98.75
2590.00,98.76
2589.00,98.77
2588.00,98.77
2587.00,98.77
2586.00,98.78
2585.00,98.78
2584.00,98.78
2583.00,98.78
2582.00,98.77
2581.00,98.77
2580.00,98.78
2579.00,98.80
2578.00,98.82
2577.00,98.84
2576.00,98.83
2575.00,98.81
2574.00,98.78
2573.00,98.76
2572.00,98.75
2571.00,98.74
2570.00,98.74
2569.00,98.75
2568.00,98.75
2567.00,98.74
2566.00,98.72
2565.00,98.72
2564.00,98.73
2563.00,98.76
2562.00,98.79
2561.00,98.80
2560.00,98.80
2559.00,98.81
2558.00,98.81
2557.00,98.80
2556.00,98.78
2555.00,98.76
2554.00,98.75
2553.00,98.74
2552.00,98.74
2551.00,98.75
2550.00,98.75
2549.00,98.74
2548.00,98.71
2547.00,98.71
2546.00,98.72
2545.00,98.74
2544.00,98.77
2543.00,98.78
2542.00,98.77
2541.00,98.76
2540.00,98.76
2539.00,98.77
2538.00,98.77
2537.00,98.75
2536.00,98.74
2535.00,98.73
2534.00,98.74
2533.00,98.74
2532.00,98.73
2531.00,98.73
2530.00,98.73
2529.00,98.74
2528.00,98.75
2527.00,98.75
2526.00,98.77
2525.00,98.78
2524.00,98.80
2523.00,98.80
2522.00,98.80
2521.00,98.79
2520.00,98.79
2519.00,98.80
2518.00,98.80
2517.00,98.80
2516.00,98.80
2515.00,98.81
2514.00,98.83
2513.00,98.84
2512.00,98.85
2511.00,98.84
2510.00,98.83
2509.00,98.82
2508.00,98.81
2507.00,98.82
2506.00,98.82
2505.00,98.82
2504.00,98.83
2503.00,98.84
2502.00,98.85
2501.00,98.84
2500.00,98.84
2499.00,98.84
2498.00,98.84
2497.00,98.83
2496.00,98.82
2495.00,98.81
2494.00,98.82
2493.00,98.83
2492.00,98.83
2491.00,98.83
2490.00,98.82
2489.00,98.82
2488.00,98.83
2487.00,98.83
2486.00,98.82
2485.00,98.82
2484.00,98.82
2483.00,98.82
2482.00,98.81
2481.00,98.81
2480.00,98.82
2479.00,98.83
2478.00,98.85
2477.00,98.86
2476.00,98.87
2475.00,98.87
2474.00,98.87
