Created as New Dataset,166. Hoechst (Dark Blue)
cm-1,%T
2834.00,95.31
2833.00,95.32
2832.00,95.34
2831.00,95.34
2830.00,95.34
2829.00,95.34
2828.00,95.34
2827.00,95.35
2826.00,95.36
2825.00,95.38
2824.00,95.38
2823.00,95.38
2822.00,95.38
2821.00,95.39
2820.00,95.39
2819.00,95.40
2818.00,95.39
2817.00,95.39
2816.00,95.38
2815.00,95.38
2814.00,95.37
2813.00,95.37
2812.00,95.37
2811.00,95.37
2810.00,95.36
2809.00,95.35
2808.00,95.33
2807.00,95.31
2806.00,95.31
2805.00,95.32
2804.00,95.35
2803.00,95.38
2802.00,95.40
2801.00,95.40
2800.00,95.40
2799.00,95.39
2798.00,95.39
2797.00,95.39
2796.00,95.38
2795.00,95.38
2794.00,95.39
2793.00,95.40
2792.00,95.41
2791.00,95.42
2790.00,95.43
2789.00,95.44
2788.00,95.44
2787.00,95.43
2786.00,95.42
2785.00,95.42
2784.00,95.41
2783.00,95.42
2782.00,95.43
2781.00,95.44
2780.00,95.46
2779.00,95.46
2778.00,95.47
2777.00,95.47
2776.00,95.46
2775.00,95.45
2774.00,95.44
2773.00,95.44
2772.00,95.44
2771.00,95.44
2770.00,95.46
2769.00,95.46
2768.00,95.47
2767.00,95.48
2766.00,95.48
2765.00,95.49
2764.00,95.49
2763.00,95.49
2762.00,95.48
2761.00,95.47
2760.00,95.47
2759.00,95.47
2758.00,95.47
2757.00,95.48
2756.00,95.48
2755.00,95.49
2754.00,95.49
2753.00,95.49
2752.00,95.48
2751.00,95.48
2750.00,95.46
2749.00,95.45
2748.00,95.43
2747.00,95.42
2746.00,95.42
2745.00,95.42
2744.00,95.43
2743.00,95.44
2742.00,95.45
2741.00,95.44
2740.00,95.44
2739.00,95.45
2738.00,95.45
2737.00,95.45
2736.00,95.46
2735.00,95.46
2734.00,95.46
2733.00,95.45
2732.00,95.45
2731.00,95.45
2730.00,95.45
2729.00,95.47
2728.00,95.48
2727.00,95.48
2726.00,95.49
2725.00,95.49
2724.00,95.48
2723.00,95.48
2722.00,95.49
2721.00,95.50
2720.00,95.49
2719.00,95.49
2718.00,95.47
2717.00,95.47
2716.00,95.47
2715.00,95.47
2714.00,95.48
2713.00,95.49
2712.00,95.49
2711.00,95.49
2710.00,95.49
2709.00,95.49
2708.00,95.49
2707.00,95.49
2706.00,95.50
2705.00,95.51
2704.00,95.51
2703.00,95.52
2702.00,95.52
2701.00,95.52
2700.00,95.51
2699.00,95.51
2698.00,95.51
2697.00,95.52
2696.00,95.53
2695.00,95.54
2694.00,95.54
2693.00,95.54
2692.00,95.54
2691.00,95.53
2690.00,95.53
2689.00,95.53
2688.00,95.52
2687.00,95.52
2686.00,95.51
2685.00,95.51
2684.00,95.52
2683.00,95.53
2682.00,95.53
2681.00,95.52
2680.00,95.51
2679.00,95.50
2678.00,95.49
2677.00,95.49
2676.00,95.48
2675.00,95.47
2674.00,95.46
2673.00,95.45
2672.00,95.45
2671.00,95.45
2670.00,95.46
2669.00,95.47
2668.00,95.47
2667.00,95.48
2666.00,95.49
2665.00,95.50
2664.00,95.51
2663.00,95.50
2662.00,95.47
2661.00,95.45
2660.00,95.42
2659.00,95.40
2658.00,95.40
2657.00,95.40
2656.00,95.40
2655.00,95.40
2654.00,95.39
2653.00,95.37
2652.00,95.36
2651.00,95.35
2650.00,95.34
2649.00,95.32
2648.00,95.30
2647.00,95.29
2646.00,95.28
2645.00,95.28
2644.00,95.28
2643.00,95.29
2642.00,95.28
2641.00,95.27
2640.00,95.25
2639.00,95.23
2638.00,95.22
2637.00,95.21
2636.00,95.20
2635.00,95.19
2634.00,95.17
2633.00,95.16
2632.00,95.15
2631.00,95.15
2630.00,95.14
2629.00,95.13
2628.00,95.12
2627.00,95.11
2626.00,95.11
2625.00,95.11
2624.00,95.11
2623.00,95.11
2622.00,95.10
2621.00,95.09
2620.00,95.09
2619.00,95.09
2618.00,95.09
2617.00,95.08
2616.00,95.06
2615.00,95.05
2614.00,95.04
2613.00,95.04
2612.00,95.04
2611.00,95.04
2610.00,95.04
2609.00,95.04
2608.00,95.04
2607.00,95.04
2606.00,95.03
2605.00,95.01
2604.00,95.00
2603.00,94.99
2602.00,94.99
2601.00,94.99
2600.00,94.98
2599.00,94.95
2598.00,94.93
2597.00,94.92
2596.00,94.93
2595.00,94.94
2594.00,94.95
2593.00,94.95
2592.00,94.92
2591.00,94.89
2590.00,94.87
2589.00,94.86
2588.00,94.85
2587.00,94.85
2586.00,94.85
2585.00,94.85
2584.00,94.84
2583.00,94.84
2582.00,94.84
2581.00,94.84
2580.00,94.84
2579.00,94.84
2578.00,94.84
2577.00,94.84
2576.00,94.84
2575.00,94.84
2574.00,94.83
2573.00,94.82
2572.00,94.82
2571.00,94.82
2570.00,94.83
2569.00,94.83
2568.00,94.82
2567.00,94.80
2566.00,94.78
2565.00,94.77
2564.00,94.78
2563.00,94.80
2562.00,94.81
2561.00,94.82
2560.00,94.82
2559.00,94.81
2558.00,94.80
2557.00,94.79
2556.00,94.78
2555.00,94.77
2554.00,94.76
2553.00,94.76
2552.00,94.76
2551.00,94.76
2550.00,94.77
2549.00,94.77
2548.00,94.76
2547.00,94.74
2546.00,94.73
2545.00,94.72
2544.00,94.73
2543.00,94.74
2542.00,94.75
2541.00,94.75
2540.00,94.74
2539.00,94.72
2538.00,94.71
2537.00,94.70
2536.00,94.70
2535.00,94.70
2534.00,94.69
2533.00,94.69
2532.00,94.68
2531.00,94.68
2530.00,94.69
2529.00,94.72
2528.00,94.75
2527.00,94.76
2526.00,94.76
2525.00,94.74
2524.00,94.72
2523.00,94.70
2522.00,94.70
2521.00,94.71
2520.00,94.72
2519.00,94.72
2518.00,94.72
2517.00,94.73
2516.00,94.74
2515.00,94.75
2514.00,94.76
2513.00,94.77
2512.00,94.77
2511.00,94.77
2510.00,94.75
2509.00,94.74
2508.00,94.74
2507.00,94.75
2506.00,94.76
2505.00,94.75
2504.00,94.73
2503.00,94.72
2502.00,94.71
2501.00,94.72
2500.00,94.72
2499.00,94.73
2498.00,94.75
2497.00,94.77
2496.00,94.79
2495.00,94.79
2494.00,94.79
2493.00,94.77
2492.00,94.75
2491.00,94.72
2490.00,94.71
2489.00,94.71
2488.00,94.73
2487.00,94.75
2486.00,94.78
2485.00,94.79
2484.00,94.79
2483.00,94.78
2482.00,94.76
2481.00,94.73
2480.00,94.71
2479.00,94.71
2478.00,94.72
2477.00,94.73
2476.00,94.73
2475.00,94.73
2474.00,94.73
2473.00,94.74
2472.00,94.77
