Created as New Dataset,58 Eastman Fibres
cm-1,%T
2687.00,99.42
2686.00,99.43
2685.00,99.43
2684.00,99.41
2683.00,99.39
2682.00,99.38
2681.00,99.38
2680.00,99.39
2679.00,99.40
2678.00,99.40
2677.00,99.39
2676.00,99.39
2675.00,99.38
2674.00,99.39
2673.00,99.39
2672.00,99.40
2671.00,99.40
2670.00,99.41
2669.00,99.41
2668.00,99.41
2667.00,99.40
2666.00,99.39
2665.00,99.38
2664.00,99.39
2663.00,99.39
2662.00,99.39
2661.00,99.37
2660.00,99.36
2659.00,99.34
2658.00,99.33
2657.00,99.33
2656.00,99.33
2655.00,99.32
2654.00,99.31
2653.00,99.30
2652.00,99.29
2651.00,99.28
2650.00,99.27
2649.00,99.27
2648.00,99.26
2647.00,99.26
2646.00,99.26
2645.00,99.25
2644.00,99.25
2643.00,99.26
2642.00,99.27
2641.00,99.27
2640.00,99.25
2639.00,99.23
2638.00,99.21
2637.00,99.18
2636.00,99.16
2635.00,99.15
2634.00,99.14
2633.00,99.14
2632.00,99.14
2631.00,99.14
2630.00,99.14
2629.00,99.14
2628.00,99.13
2627.00,99.12
2626.00,99.11
2625.00,99.11
2624.00,99.13
2623.00,99.14
2622.00,99.15
2621.00,99.15
2620.00,99.14
2619.00,99.13
2618.00,99.13
2617.00,99.13
2616.00,99.13
2615.00,99.12
2614.00,99.11
2613.00,99.10
2612.00,99.10
2611.00,99.09
2610.00,99.08
2609.00,99.07
2608.00,99.07
2607.00,99.06
2606.00,99.06
2605.00,99.06
2604.00,99.06
2603.00,99.05
2602.00,99.05
2601.00,99.05
2600.00,99.04
2599.00,99.04
2598.00,99.03
2597.00,99.02
2596.00,99.02
2595.00,99.03
2594.00,99.04
2593.00,99.04
2592.00,99.04
2591.00,99.01
2590.00,98.98
2589.00,98.96
2588.00,98.95
2587.00,98.96
2586.00,98.98
2585.00,99.00
2584.00,99.01
2583.00,99.00
2582.00,98.98
2581.00,98.96
2580.00,98.95
2579.00,98.95
2578.00,98.96
2577.00,98.97
2576.00,98.98
2575.00,98.97
2574.00,98.97
2573.00,98.97
2572.00,98.97
2571.00,98.97
2570.00,98.96
2569.00,98.93
2568.00,98.92
2567.00,98.91
2566.00,98.92
2565.00,98.93
2564.00,98.94
2563.00,98.94
2562.00,98.93
2561.00,98.92
2560.00,98.92
2559.00,98.91
2558.00,98.90
2557.00,98.89
2556.00,98.89
2555.00,98.91
2554.00,98.93
2553.00,98.94
2552.00,98.94
2551.00,98.94
2550.00,98.94
2549.00,98.94
2548.00,98.94
2547.00,98.93
2546.00,98.93
2545.00,98.91
2544.00,98.89
2543.00,98.87
2542.00,98.87
2541.00,98.87
2540.00,98.88
2539.00,98.89
2538.00,98.91
2537.00,98.92
2536.00,98.91
2535.00,98.89
2534.00,98.88
2533.00,98.89
2532.00,98.90
2531.00,98.91
2530.00,98.90
2529.00,98.90
2528.00,98.89
2527.00,98.89
2526.00,98.90
2525.00,98.89
2524.00,98.88
2523.00,98.86
2522.00,98.84
2521.00,98.83
2520.00,98.84
2519.00,98.86
2518.00,98.89
2517.00,98.90
2516.00,98.90
2515.00,98.88
2514.00,98.87
2513.00,98.86
2512.00,98.86
2511.00,98.89
2510.00,98.91
2509.00,98.92
2508.00,98.92
2507.00,98.91
2506.00,98.90
2505.00,98.90
2504.00,98.88
2503.00,98.87
2502.00,98.86
2501.00,98.87
2500.00,98.89
2499.00,98.90
2498.00,98.91
2497.00,98.91
2496.00,98.92
2495.00,98.93
2494.00,98.93
2493.00,98.92
2492.00,98.91
2491.00,98.89
2490.00,98.89
2489.00,98.88
2488.00,98.88
2487.00,98.87
2486.00,98.87
2485.00,98.86
2484.00,98.86
2483.00,98.87
2482.00,98.87
2481.00,98.88
2480.00,98.88
2479.00,98.90
2478.00,98.90
2477.00,98.89
2476.00,98.87
2475.00,98.86
2474.00,98.87
2473.00,98.90
2472.00,98.93
2471.00,98.94
2470.00,98.93
2469.00,98.90
2468.00,98.89
