Created as New Dataset,186 Acordis Fibres
cm-1,%T
2580.00,91.96
2579.00,91.96
2578.00,91.94
2577.00,91.92
2576.00,91.92
2575.00,91.92
2574.00,91.94
2573.00,91.95
2572.00,91.96
2571.00,91.95
2570.00,91.94
2569.00,91.93
2568.00,91.93
2567.00,91.93
2566.00,91.93
2565.00,91.92
2564.00,91.91
2563.00,91.91
2562.00,91.92
2561.00,91.93
2560.00,91.92
2559.00,91.90
2558.00,91.90
2557.00,91.91
2556.00,91.93
2555.00,91.95
2554.00,91.96
2553.00,91.96
2552.00,91.96
2551.00,91.94
2550.00,91.93
2549.00,91.92
2548.00,91.91
2547.00,91.91
2546.00,91.91
2545.00,91.92
2544.00,91.94
2543.00,91.95
2542.00,91.97
2541.00,91.99
2540.00,92.00
2539.00,91.99
2538.00,91.98
2537.00,91.97
2536.00,91.96
2535.00,91.95
2534.00,91.94
2533.00,91.93
2532.00,91.92
2531.00,91.92
2530.00,91.93
2529.00,91.93
2528.00,91.95
2527.00,91.97
2526.00,91.99
2525.00,91.99
2524.00,91.98
2523.00,91.98
2522.00,91.99
2521.00,92.02
2520.00,92.06
2519.00,92.07
2518.00,92.06
2517.00,92.03
2516.00,91.99
2515.00,91.97
2514.00,91.95
2513.00,91.95
2512.00,91.97
2511.00,91.99
2510.00,92.02
2509.00,92.03
2508.00,92.03
2507.00,92.02
2506.00,92.02
2505.00,92.04
2504.00,92.05
2503.00,92.07
2502.00,92.07
2501.00,92.06
2500.00,92.05
2499.00,92.04
2498.00,92.03
2497.00,92.03
2496.00,92.03
2495.00,92.03
2494.00,92.04
2493.00,92.05
2492.00,92.06
2491.00,92.06
2490.00,92.05
2489.00,92.03
2488.00,92.01
2487.00,92.01
2486.00,92.01
2485.00,92.04
2484.00,92.06
2483.00,92.09
2482.00,92.12
2481.00,92.13
2480.00,92.14
2479.00,92.13
2478.00,92.12
2477.00,92.12
2476.00,92.12
2475.00,92.10
2474.00,92.09
2473.00,92.09
2472.00,92.09
2471.00,92.10
2470.00,92.10
2469.00,92.10
2468.00,92.09
