Created as New Dataset,2 Celanese
cm-1,%T
2629.00,96.51
2628.00,96.50
2627.00,96.50
2626.00,96.51
2625.00,96.52
2624.00,96.53
2623.00,96.52
2622.00,96.50
2621.00,96.49
2620.00,96.49
2619.00,96.50
2618.00,96.50
2617.00,96.49
2616.00,96.46
2615.00,96.44
2614.00,96.42
2613.00,96.42
2612.00,96.42
2611.00,96.41
2610.00,96.40
2609.00,96.38
2608.00,96.37
2607.00,96.37
2606.00,96.38
2605.00,96.39
2604.00,96.40
2603.00,96.39
2602.00,96.39
2601.00,96.39
2600.00,96.39
2599.00,96.40
2598.00,96.40
2597.00,96.41
2596.00,96.41
2595.00,96.39
2594.00,96.37
2593.00,96.34
2592.00,96.31
2591.00,96.28
2590.00,96.25
2589.00,96.24
2588.00,96.24
2587.00,96.25
2586.00,96.25
2585.00,96.25
2584.00,96.25
2583.00,96.24
2582.00,96.25
2581.00,96.26
2580.00,96.28
2579.00,96.29
2578.00,96.29
2577.00,96.27
2576.00,96.25
2575.00,96.24
2574.00,96.24
2573.00,96.24
2572.00,96.23
2571.00,96.22
2570.00,96.22
2569.00,96.22
2568.00,96.23
2567.00,96.24
2566.00,96.23
2565.00,96.21
2564.00,96.18
2563.00,96.16
2562.00,96.15
2561.00,96.15
2560.00,96.16
2559.00,96.19
2558.00,96.21
2557.00,96.21
2556.00,96.20
2555.00,96.17
2554.00,96.14
2553.00,96.12
2552.00,96.12
2551.00,96.14
2550.00,96.15
2549.00,96.17
2548.00,96.19
2547.00,96.20
2546.00,96.22
2545.00,96.25
2544.00,96.27
2543.00,96.28
2542.00,96.26
2541.00,96.23
2540.00,96.19
2539.00,96.15
2538.00,96.12
2537.00,96.11
2536.00,96.11
2535.00,96.12
2534.00,96.13
2533.00,96.14
2532.00,96.16
2531.00,96.17
2530.00,96.18
2529.00,96.19
2528.00,96.20
2527.00,96.19
2526.00,96.19
2525.00,96.20
2524.00,96.22
2523.00,96.23
2522.00,96.22
2521.00,96.20
2520.00,96.17
2519.00,96.15
2518.00,96.14
2517.00,96.14
2516.00,96.16
2515.00,96.17
2514.00,96.18
2513.00,96.18
2512.00,96.17
2511.00,96.16
2510.00,96.17
2509.00,96.18
2508.00,96.20
2507.00,96.20
2506.00,96.20
2505.00,96.19
2504.00,96.19
2503.00,96.19
