Created as New Dataset,135 Bayer
cm-1,%T
2590.00,99.99
2589.00,99.96
2588.00,99.92
2587.00,99.88
2586.00,99.86
2585.00,99.86
2584.00,99.86
2583.00,99.88
2582.00,99.89
2581.00,99.91
2580.00,99.93
2579.00,99.95
2578.00,99.98
2577.00,99.99
2576.00,99.97
2575.00,99.94
2574.00,99.92
2573.00,99.91
2572.00,99.91
2571.00,99.91
2570.00,99.90
2569.00,99.87
2568.00,99.85
2567.00,99.85
2566.00,99.86
2565.00,99.88
2564.00,99.90
2563.00,99.92
2562.00,99.93
2561.00,99.95
2560.00,99.96
2559.00,99.97
2558.00,99.98
2557.00,99.99
2556.00,100.00
2555.00,99.99
2554.00,99.99
2553.00,99.99
2552.00,99.99
2551.00,99.98
2550.00,99.97
2549.00,99.94
2548.00,99.91
2547.00,99.90
2546.00,99.88
2545.00,99.87
2544.00,99.84
2543.00,99.82
2542.00,99.81
2541.00,99.82
2540.00,99.83
2539.00,99.85
2538.00,99.86
2537.00,99.86
2536.00,99.86
2535.00,99.85
2534.00,99.85
2533.00,99.85
2532.00,99.84
2531.00,99.84
2530.00,99.83
2529.00,99.83
2528.00,99.84
2527.00,99.85
2526.00,99.87
2525.00,99.87
2524.00,99.88
2523.00,99.88
2522.00,99.88
2521.00,99.87
2520.00,99.85
2519.00,99.84
2518.00,99.85
2517.00,99.87
2516.00,99.90
2515.00,99.92
2514.00,99.93
2513.00,99.93
2512.00,99.93
2511.00,99.93
2510.00,99.93
2509.00,99.93
2508.00,99.92
2507.00,99.91
2506.00,99.92
2505.00,99.93
2504.00,99.95
2503.00,99.97
2502.00,99.97
2501.00,99.97
2500.00,99.97
2499.00,99.97
2498.00,99.96
2497.00,99.95
2496.00,99.95
2495.00,99.94
2494.00,99.92
2493.00,99.90
2492.00,99.89
2491.00,99.89
2490.00,99.89
2489.00,99.90
2488.00,99.90
2487.00,99.89
2486.00,99.87
2485.00,99.87
2484.00,99.88
2483.00,99.89
2482.00,99.90
2481.00,99.91
2480.00,99.92
2479.00,99.93
2478.00,99.94
2477.00,99.94
2476.00,99.93
2475.00,99.92
2474.00,99.91
2473.00,99.91
2472.00,99.91
2471.00,99.93
2470.00,99.94
2469.00,99.95
2468.00,99.94
2467.00,99.91
2466.00,99.88
2465.00,99.86
